fbr_id,full_name,declared_income_pkr,tax_paid_pkr,filer_status,reported_address,phone_number,income_source,wealth_source,occupation,years_as_nonfiler,has_bank_account
FBR-5391,Ayesha Chaudhry,960000,96000,ATL,"House 101, Nazimabad, Sialkot",0324-5882155,Business,Cash,Retired,0,True
FBR-5392,Hamza Bhatti,1800000,180000,Non-ATL,"House 176, G-10, Multan",0320-9625782,Business,Cash,Doctor,1,True
FBR-5393,Ali Bibi,960000,96000,ATL,"House 195, Satellite Town, Sukkur",0341-4888118,Salary,Foreign Remittance,Unemployed,0,True
FBR-5394,Waseem Chaudhry,240000,24000,Non-ATL,"House 100, Model Town, Lahore",0340-8627651,Salary,Savings,Shopkeeper,2,True
FBR-5395,Sobia Javed,3000000,300000,ATL,"House 149, Nazimabad, Sukkur",0344-3916715,Rental,Cash,Unemployed,0,True
FBR-5396,Hamza Abbasi,960000,96000,ATL,"House 104, F-7, Sialkot",0332-6788681,Rental,Cash,Clerk,0,True
FBR-5397,Ahmed Abbasi,960000,96000,Non-ATL,"House 165, Bahria Town, Sialkot",0327-4548668,Business,Gift,Doctor,2,True
FBR-5398,Sobia Ahmed,960000,96000,ATL,"House 124, Clifton, Gujranwala",0340-9036641,Business,Prize Bond,Doctor,0,False
FBR-5399,Ayesha Soomro,0,0,Non-ATL,"House 152, Clifton, Lahore",0320-3260294,Prize Bond,Savings,Clerk,1,True
FBR-5400,Waseem Qureshi,240000,24000,Non-ATL,"House 154, F-7, Islamabad",0346-1312392,Agriculture,Savings,Driver,3,False
FBR-5401,Nadia Bhatti,240000,24000,Non-ATL,"House 37, Bahria Town, Quetta",0347-4051509,Prize Bond,Prize Bond,Businessman,1,True
FBR-5402,Tariq Qureshi,1800000,180000,Non-ATL,"House 34, Hayatabad, Quetta",0316-1277874,Business,Prize Bond,Retired,5,False
FBR-5403,Zainab Nawaz,0,0,Non-ATL,"House 158, Hayatabad, Islamabad",0348-1654924,Prize Bond,Prize Bond,Accountant,0,True
FBR-5404,Rabia Rizvi,240000,24000,Non-ATL,"House 1, Model Town, Quetta",0337-9758448,Rental,Foreign Remittance,Engineer,5,False
FBR-5405,Tariq Chaudhry,960000,96000,ATL,"House 151, Cantt, Rawalpindi",0346-2639417,Rental,Gift,Businessman,0,False
FBR-5406,Sana Bhatti,0,0,Non-ATL,"House 140, Garden Town, Rawalpindi",0336-5325249,Business,Savings,Lawyer,5,True
FBR-5407,Waseem Khan,0,0,Non-ATL,"House 97, Nazimabad, Hyderabad",0323-6299951,Rental,Foreign Remittance,Teacher,1,False
FBR-5408,Bilal Rizvi,480000,48000,Non-ATL,"House 109, Hayatabad, Gujranwala",0346-7134489,Prize Bond,Foreign Remittance,Shopkeeper,3,True
FBR-5409,Zainab Chaudhry,5000000,500000,ATL,"House 144, Nazimabad, Multan",0345-9116148,Agriculture,Foreign Remittance,Clerk,0,True
FBR-5410,Farah Ahmed,3000000,300000,Non-ATL,"House 192, Pechs, Sukkur",0324-8492618,Business,Savings,Driver,4,False
FBR-5411,Farah Sheikh,1800000,180000,ATL,"House 42, Cantt, Faisalabad",0334-1088762,Salary,Gift,Student,0,False
FBR-5412,Hamza Chaudhry,480000,48000,Non-ATL,"House 21, Gulberg, Karachi",0348-1633429,Rental,Cash,Clerk,5,True
FBR-5413,Zainab Nawaz,0,0,Non-ATL,"House 113, Hayatabad, Sukkur",0310-4384085,Prize Bond,Foreign Remittance,Driver,0,True
FBR-5414,Hamza Khan,3000000,300000,Non-ATL,"House 41, Bahria Town, Hyderabad",0315-5629452,Rental,Foreign Remittance,Shopkeeper,3,False
FBR-5415,Naveed Malik,1800000,180000,Non-ATL,"House 24, Clifton, Hyderabad",0345-5773013,Prize Bond,Prize Bond,Unemployed,2,True
FBR-5416,Zubair Qureshi,240000,24000,Non-ATL,"House 148, Hayatabad, Rawalpindi",0310-5380657,Business,Cash,Retired,0,True
FBR-5417,Fatima Abbasi,480000,48000,Non-ATL,"House 66, F-7, Sialkot",0344-5196677,Rental,Cash,Clerk,3,True
FBR-5418,Kashif Khan,960000,96000,ATL,"House 124, Cantt, Faisalabad",0317-5325497,Salary,Cash,Shopkeeper,0,True
FBR-5419,Imran Baig,240000,24000,Non-ATL,"House 91, Satellite Town, Gujranwala",0343-9986747,Salary,Foreign Remittance,Driver,2,True
FBR-5420,Ahmed Rizvi,3000000,300000,ATL,"House 46, Model Town, Multan",0340-6265911,Agriculture,Gift,Clerk,0,True
FBR-5421,Usman Nawaz,3000000,300000,ATL,"House 189, Satellite Town, Islamabad",0322-4940319,Business,Foreign Remittance,Driver,0,True
FBR-5422,Rabia Chaudhry,240000,24000,Non-ATL,"House 40, Garden Town, Rawalpindi",0316-3011227,Salary,Cash,Clerk,0,True
FBR-5423,Kashif Javed,1800000,180000,ATL,"House 126, G-10, Quetta",0321-9575399,Agriculture,Cash,Driver,0,True
FBR-5424,Amna Sheikh,5000000,500000,ATL,"House 129, Nazimabad, Lahore",0332-7605473,Business,Cash,Teacher,0,False
FBR-5425,Muhammad Siddiqui,0,0,Non-ATL,"House 98, Satellite Town, Faisalabad",0347-2690268,Agriculture,Foreign Remittance,Clerk,6,True
FBR-5426,Hamza Javed,480000,48000,Non-ATL,"House 121, Nazimabad, Islamabad",0349-6756203,Agriculture,Gift,Student,3,True
FBR-5427,Tariq Javed,5000000,500000,ATL,"House 116, Satellite Town, Multan",0321-3200150,Prize Bond,Gift,Teacher,0,True
FBR-5428,Usman Raza,960000,96000,ATL,"House 190, Nazimabad, Rawalpindi",0319-8935405,Salary,Gift,Housewife,0,False
FBR-5429,Sobia Butt,3000000,300000,ATL,"House 125, Garden Town, Islamabad",0329-5210645,Prize Bond,Prize Bond,Engineer,0,False
FBR-5430,Ali Siddiqui,240000,24000,Non-ATL,"House 66, Satellite Town, Karachi",0340-2615677,Rental,Foreign Remittance,Businessman,2,True
FBR-5431,Muhammad Baig,5000000,500000,Non-ATL,"House 32, Nazimabad, Sialkot",0332-4337963,Prize Bond,Prize Bond,Shopkeeper,5,True
FBR-5432,Farah Abbasi,480000,48000,Non-ATL,"House 125, G-10, Peshawar",0338-2315459,Rental,Prize Bond,Businessman,3,True
FBR-5433,Nadia Bhatti,5000000,500000,ATL,"House 147, Model Town, Islamabad",0335-2196955,Salary,Gift,Unemployed,0,True
FBR-5434,Bilal Bhatti,3000000,300000,Non-ATL,"House 166, G-10, Faisalabad",0335-5550787,Rental,Foreign Remittance,Lawyer,4,False
FBR-5435,Muhammad Raza,240000,24000,Non-ATL,"House 187, Bahria Town, Multan",0325-5221936,Salary,Gift,Doctor,3,True
FBR-5436,Muhammad Qureshi,960000,96000,ATL,"House 135, Gulberg, Karachi",0315-2743629,Agriculture,Prize Bond,Doctor,0,True
FBR-5437,Hamza Bibi,480000,48000,Non-ATL,"House 189, Pechs, Gujranwala",0328-8434998,Business,Gift,Retired,6,True
FBR-5438,Imran Nawaz,3000000,300000,ATL,"House 120, DHA, Lahore",0344-5570355,Prize Bond,Cash,Doctor,0,True
FBR-5439,Asad Soomro,960000,96000,ATL,"House 112, Hayatabad, Hyderabad",0343-9955411,Agriculture,Foreign Remittance,Student,0,True
FBR-5440,Saima Baig,480000,48000,Non-ATL,"House 67, Johar Town, Karachi",0319-6093108,Salary,Savings,Retired,6,True
FBR-5441,Naveed Nawaz,960000,96000,ATL,"House 194, F-7, Faisalabad",0340-6026630,Salary,Cash,Accountant,0,True
FBR-5442,Saima Siddiqui,5000000,500000,Non-ATL,"House 106, Clifton, Hyderabad",0345-8333427,Rental,Gift,Doctor,5,False
FBR-5443,Ahmed Baig,480000,48000,Non-ATL,"House 161, Clifton, Multan",0325-9667278,Prize Bond,Foreign Remittance,Businessman,5,True
FBR-5444,Ayesha Iqbal,5000000,500000,Non-ATL,"House 29, Clifton, Multan",0339-8596173,Agriculture,Prize Bond,Student,1,True
FBR-5445,Amna Khan,0,0,Non-ATL,"House 48, Bahria Town, Lahore",0316-5733096,Agriculture,Gift,Lawyer,3,True
FBR-5446,Muhammad Nawaz,240000,24000,Non-ATL,"House 56, Gulberg, Rawalpindi",0331-8050508,Agriculture,Cash,Unemployed,3,True
FBR-5447,Ayesha Sheikh,5000000,500000,ATL,"House 69, Gulberg, Faisalabad",0335-2197636,Prize Bond,Cash,Doctor,0,True
FBR-5448,Fatima Bibi,960000,96000,ATL,"House 99, Garden Town, Peshawar",0338-5146693,Salary,Gift,Student,0,True
FBR-5449,Hina Qureshi,240000,24000,Non-ATL,"House 175, Model Town, Sialkot",0329-6420100,Business,Savings,Lawyer,4,True
